Symbol      Encoded symbol
.   0
p   10
D   1100000
V   110000100
3   1100001010
&   11000010110
(   11000010111
1   110000110
8   110000111
C   110001
S   11001
N   110100
q   110101
O   1101100
K   1101101
P   1101110
G   1101111
v   111
n   1
g   1000
f   1001
l   101
a   11
o   1000
I   1001000
'   100100100
A   100100101
R   100100110000
)   100100110001000
2   100100110001001
5   10010011000101
:   1001001100011
E   10010011001
Y   1001001101
x   1001001110
L   10010011110
z   100100111110
F   100100111111
y   100101
d   10011
t   1010
c   101100
w   101101
j   1011100000
M   1011100001
H   101110001
Q   10111001000000
U   101110010000010
/   101110010000011
J   1011100100001
;   101110010001
!   10111001001
W   1011100101
T   101110011
b   1011101
m   101111
r   11000
s   11001
i   11010
B   1101100000
?   1101100001
-   110110001
k   11011001
"   1101101
u   110111
e   1110
h   11110

   111110

   111111
